Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,ExteriorColor,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock#,Mileage
2019,Toyota,Sienna SE,Used,"$39,998 ",4.6,45,Dealer,CarMax Murrieta - Now offering Curbside Pickup and Home Delivery,3.3,3,25560 Madison Ave Murrieta,CA,92562,Great,4.7,4.6,4.6,4.4,4.6,4.7,Red,Black,Front-wheel Drive,19,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,5TDXZ3DC2KS015402,22998646,29403
2018,Ford,F-150 Lariat,Used,"$49,985 ",4.8,817,Dealer,Giant Chevrolet,4.8,131,1001 S Ben Maddox Way Visalia,CA,93292,Good,4.9,4.8,4.8,4.6,4.8,4.7,Shadow Black,Black,Four-wheel Drive,19,24,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTEW1EG2JFD44217,22418A,32929
2017,RAM,1500 Laramie,Used,"$41,860 ",4.7,495,Dealer,Gill Auto Group Madera,4.6,249,1100 S Madera Ave Madera,CA,93637,Good,4.8,4.7,4.8,4.6,4.8,4.7,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,15,21,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6RR7VT5HS842283,NG277871G,23173
2021,Honda,Accord Sport SE,Used,"$28,500 ",5,36,Dealer,AutoSavvy Las Vegas,4.6,284,2121 E Sahara Ave Las Vegas,NV,89104,NA,4.9,5,4.9,5,5,5,Gray,–,Front-wheel Drive,29,35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F49MA038035,54237,10598
2020,Lexus,RX 350,Used,"$49,000 ",4.8,76,Dealer,Lexus of Henderson,4.8,4755,7737 Eastgate Rd Henderson,NV,89011,Good,4.9,4.8,4.8,4.7,4.8,4.9,Eminent White Pearl,Birch,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2AZMAA8LC156270,HDT4181A,28137
2012,Toyota,4Runner SR5,Used,"$23,541 ",4.7,34,Dealer,AutoNation Toyota Hayward,4.4,1071,24773 Mission Blvd Hayward,CA,94544,Fair,4.7,4.6,4.4,4.6,4.9,4.9,Black,–,Rear-wheel Drive,17,23,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEZU5JR3C5043790,C5043790,105469
2017,Honda,HR-V LX,Used,"$20,995 ",4.6,200,Dealer,Downtown Toyota-Subaru of Oakland,4.4,2695,4145 Broadway Oakland,CA,94611,Great,4.6,4.4,4.4,4.5,4.7,4.8,Modern Steel Metallic,Black,Front-wheel Drive,28,34,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU5H32HG703897,T1480,10458
2014,Mercedes-Benz,E-Class E 350,Used,"$18,985 ",4.8,176,Dealer,Downtown Toyota-Subaru of Oakland,4.4,2695,4145 Broadway Oakland,CA,94611,Great,4.9,4.8,4.8,4.6,4.9,4.8,Lunar Blue Metallic,Saffron,Rear-wheel Drive,21,30,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,WDDHF5KB3EA778099,224922A,58157
2021,Honda,Pilot Touring 8-Passenger,Used,"$44,299 ",4.8,63,Dealer,EchoPark Automotive Phoenix,4.9,237,10555 West Papago Freeway Avondale,AZ,85323,Good,4.9,4.7,4.8,4.7,4.7,4.8,Platinum White Pearl,Beige,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H90MB052856,YMB052856,14445
2020,Dodge,Charger Scat Pack,Dodge Certified,"$46,773 ",4.8,56,Dealer,Bill Luke Chrysler Jeep Dodge RAM,4.3,1366,2425 W Camelback Rd Phoenix,AZ,85015,Good,4.9,4.8,4.9,4.7,4.9,4.9,Triple Nickel Clearcoat,Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ8LH157532,CBY705,25642
2017,Lexus,RC 350 Base,Used,"$42,734 ",4.8,14,Dealer,Chapman BMW on Camelback,4.8,1405,830 E Camelback Rd Phoenix,AZ,85014,Great,4.6,4.9,4.7,4.6,5,4.9,Infrared,Silver,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHHE5BC2H5017212,X220879A,10236
2013,Lexus,GS 350 Base,Used,"$16,990 ",4.7,81,Dealer,Expo Auto Sales LLC,5,3,4219 S. 7th st Phoenix,AZ,85040,Great,4.8,4.8,4.7,4.5,4.7,4.9,Gray,Black,Rear-wheel Drive,19,28,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC,JTHBE1BL3D5024808,24808,48605
2017,Lexus,RX 350 RX 350,Used,"$36,450 ",4.7,261,Dealer,Goldies Motors,4.9,200,2950-1 E Broadway Rd Phoenix,AZ,85040,Good,4.8,4.7,4.6,4.5,4.7,4.8,Nightfall Mica,Gray,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic,3.5L V6 24V GDI DOHC,2T2ZZMCA8HC086311,86311,47729
2020,Dodge,Charger Scat Pack,Dodge Certified,"$47,500 ",4.8,56,Dealer,Tempe Dodge Chrysler Jeep RAM,4.7,1973,7975 S. Autoplex Loop Tempe,AZ,85284,Good,4.9,4.8,4.9,4.7,4.9,4.9,White Knuckle Clearcoat,Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ5LH162364,NK11114B,31538
2020,Dodge,Charger Scat Pack,Used,"$41,000 ",4.8,56,Dealer,AutoSavvy Gilbert,4.5,92,1025 north Arizona ave Gilbert,AZ,85233,NA,4.9,4.8,4.9,4.7,4.9,4.9,Octane Red Pearlcoat,Black,Rear-wheel Drive,15,24,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,2C3CDXGJ4LH149735,54546,18717
2017,Lexus,RC 350 Base,Used,"$41,493 ",4.8,14,Dealer,AutoNation Nissan Chandler,4.6,893,1350 S Gilbert Rd Chandler,AZ,85286,Fair,4.6,4.9,4.7,4.6,5,4.9,Silver Lining Metallic,Sport,Rear-wheel Drive,19,28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,JTHHE5BC9H5016381,H5016381,34102
2018,Ford,Explorer XLT,Used,"$32,995 ",4.8,265,Dealer,Driven Auto Sales,5,2,688 S Main St Springville,UT,84663,Good,4.9,4.8,4.8,4.7,4.9,4.8,Red,Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D89JGB20589,P2214,61294
2021,Subaru,Crosstrek Premium,Used,"$25,500 ",4.8,78,Dealer,AutoSavvy Lindon,4.4,121,370 State St Lindon,UT,84042,NA,4.9,4.8,4.8,4.8,4.8,4.8,Cool-Gray Khaki,Black,All-wheel Drive,28,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTAEC0M8340692,53341,11508
2018,Ford,Explorer XLT,Used,"$33,341 ",4.8,265,Dealer,Larry H. Miller Used Car Supermarket Sandy,3.9,338,10990 Auto Mall Dr Sandy,UT,84070,Good,4.9,4.8,4.8,4.7,4.9,4.8,Red,–,Four-wheel Drive,16,22,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,1FM5K8D82JGC77140,R5631,81375
2018,Ford,Explorer XLT,Used,"$30,489 ",4.8,265,Dealer,EchoPark Automotive Salt Lake City Delivery Center,3,2,3638 South State St Salt Lake City,UT,84115,Good,4.9,4.8,4.8,4.7,4.9,4.8,Ruby Red Metallic Tinted Clearcoat,Ebony Black,Front-wheel Drive,17,24,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FM5K7DH7JGC86801,PJGC86801,28357
2018,Ford,Explorer XLT,Used,"$32,489 ",4.8,265,Dealer,EchoPark Automotive Salt Lake City Delivery Center,3,2,3638 South State St Salt Lake City,UT,84115,Good,4.9,4.8,4.8,4.7,4.9,4.8,Shadow Black,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D81JGC67795,PJGC67795,33188
2021,Acura,RDX A-Spec,Used,"$37,000 ",4.8,42,Dealer,TJ Chapman Auto LLC,4.2,65,2021 N Redwood Rd Salt Lake City,UT,84116,NA,4.9,4.9,4.7,4.6,4.9,4.8,Majestic Black Pearl,Red,All-wheel Drive,21,26,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5J8TC2H60ML034891,ML034891,5188
2021,Acura,RDX A-Spec,Used,"$38,000 ",4.8,42,Dealer,TJ Chapman Auto LLC,4.2,65,2021 N Redwood Rd Salt Lake City,UT,84116,NA,4.9,4.9,4.7,4.6,4.9,4.8,Apex Blue Pearl,Red,All-wheel Drive,21,26,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5J8TC2H65ML044042,ML044042,12878
2018,Ford,Explorer XLT,Used,"$31,672 ",4.8,265,Dealer,Hertz Cars Sales Layton,4.9,255,1573 N Main St Layton,UT,84041,Good,4.9,4.8,4.8,4.7,4.9,4.8,Magnetic,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D84JGB62068,180116740,47661
2021,Subaru,Forester Sport,Used,"$29,500 ",4.9,109,Dealer,AutoSavvy Boise,4.6,96,1745 N Five Mile Rd Boise,ID,83713,NA,4.9,4.9,4.9,4.8,4.8,4.9,Ice Silver Metallic,Gray,All-wheel Drive,26,33,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,JF2SKALC4MH401994,53809,10859
2018,Subaru,Crosstrek 2.0i Premium,Used,"$31,995 ",4.8,343,Dealer,Jennifer's Auto Sales & Service,4,43,15020 E Sprague Ave Spokane Valley,WA,99216,Fair,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH323841,15919,30849
2018,Subaru,Crosstrek 2.0i Premium,Used,"$24,561 ",4.8,343,Dealer,AutoNation Audi Volkswagen Spokane,4.6,176,10006 E Sprague Ave Spokane Valley,WA,99206,Good,4.8,4.8,4.6,4.8,4.9,4.9,Venetian Red Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC4JH245601,JH245601,86759
2018,Subaru,Crosstrek 2.0i Premium,Used,"$24,921 ",4.8,343,Dealer,NW Group Auto Sales,1,1,2995 E Mullan Ave Post Falls,ID,83854,Good,4.8,4.8,4.6,4.8,4.9,4.9,Crystal White Pearl,Black,All-wheel Drive,27,33,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,JF2GTADC9JH280909,R280909,61053
2016,BMW,435 Gran Coupe i xDrive,Used,"$30,995 ",4.8,16,Dealer,Painless Autos,5,7,13285 NE 20th Street Bellevue,WA,98005,Good,4.6,4.9,4.9,4.4,5,5,White,Coral Red / Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4B3C58GG344713,61777494,65219
2016,BMW,435 Gran Coupe i xDrive,Used,"$30,995 ",4.8,16,Dealer,Painless Autos,5,7,13285 NE 20th Street Bellevue,WA,98005,Fair,4.6,4.9,4.9,4.4,5,5,Gray,Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4B3C57GG527875,61708777,63055
2019,Honda,Odyssey EX-L,Used,"$38,347 ",4.6,133,Dealer,Norm Reeves Honda Superstore North Richland Hills,5,59,7551 Northeast Loop 820 North Richland Hills,TX,76180,Good,4.8,4.6,4.5,4.3,4.7,4.5,Modern Steel Metallic,Gray,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H79KB016821,B01681,64571
2016,Honda,Odyssey EX-L,Used,"$28,999 ",4.7,100,Private,Darshan,4.7,1563,The Colony,TX,75056,Great,4.8,4.6,4.7,4.6,4.7,4.8,Gray,Beige,Front-wheel Drive,19,28,Gasoline Fuel,6-Speed A/T,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5FNRL5H66GB090450,–,56000
2020,Mercedes-Benz,GLC 300 Base,Used,"$43,451 ",4.8,35,Dealer,Hendrick Volkswagen Frisco,4.7,205,5010 State Hwy 121 Frisco,TX,75034,Good,4.9,4.9,4.7,4.7,4.9,4.7,Black,Black,Rear-wheel Drive,22,29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1N0G8DB5LF861075,P03785A,34768
2019,Audi,Q5 2.0T Premium,Used,"$37,300 ",4.7,42,Dealer,John Eagle Honda of Dallas,4.8,2054,5403 Lemmon Ave Dallas,TX,75209,Good,4.8,4.6,4.7,4.5,4.7,4.7,Florett Silver Metallic,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY5K2100119,K2100119P,26012
2014,BMW,428 i,Used,"$27,741 ",4.8,61,Dealer,Accelerate Auto Group,4.3,6,5201 Grisham Dr Rowlett,TX,75088,Fair,4.7,4.7,4.9,4.5,4.9,4.7,Glacier Silver Metallic,Black,Rear-wheel Drive,23,34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA3V7C51EP770606,STK770606,48531
2019,Volvo,XC60 T5 Momentum,Used,"$40,782 ",4.9,82,Dealer,Gorges Volvo Cars,4.9,1911,17665 Burt Street Omaha,NE,68118,Good,5,4.9,4.9,4.8,4.9,4.9,Denim Blue,–,All-wheel Drive,20,27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LYV102RK0KB289195,3674G,10969
2019,Honda,Odyssey EX-L,Used,"$38,900 ",4.6,133,Dealer,Honda of Olathe,4.8,721,1000 N Rogers Rd Olathe,KS,66062,Good,4.8,4.6,4.5,4.3,4.7,4.5,Crystal Black Pearl,Mocha,Front-wheel Drive,19,28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71KB114385,H002570A,32201
2019,Lincoln,MKZ Standard,Used,"$30,691 ",4.9,32,Dealer,West Point Lincoln,4.7,112,11666 Katy Freeway Houston,TX,77043,Fair,5,4.9,4.9,4.9,4.9,5,Magnetic Gray Metallic,Ebony,Front-wheel Drive,20,31,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3LN6L5A98KR601862,CP26011,34686
2020,Subaru,Ascent Touring 7-Passenger,Used,"$31,754 ",4.8,83,Dealer,RAVMOTORS of Crystal,4.7,192,5241 W Broadway Ave Minneapolis,MN,55429,Great,4.8,4.8,4.8,4.7,4.9,4.8,Crystal White Pearl,Java Brown,All-wheel Drive,20,26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,4S4WMARD3L3445339,C206657S,47226
2017,Land,Rover Range Rover Evoque SE Premium,Used,"$34,555 ",4.3,42,Private,Jason,4.7,192,Hudson,WI,54016,Great,4.4,4.6,4.2,4,4.7,4,Gray,Beige,Four-wheel Drive,21,29,Gasoline Fuel,Transmission w/Dual Shift Mode,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,SALVP2BG1HH214962,–,39855
2022,Acura,MDX A-Spec,Acura Certified,"$58,995 ",4.9,16,Dealer,Frank Leta Acura,4.6,383,11777 Tesson Ferry Rd Saint Louis,MO,63128,Fair,4.9,4.8,4.9,4.9,4.9,4.9,Performance Red Pearl,Ebony,All-wheel Drive,19,25,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YE1H06NL004768,PA2258,12531
2022,Honda,Pilot EX-L,Used,"$41,535 ",5,1,Dealer,Banner Ford,4.4,159,1943 N Causeway Blvd Mandeville,LA,70471,Great,5,5,5,5,5,5,Silver Metallic,Gray,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H53NB008763,NB008763,15118
2019,Chevrolet,Impala Premier 2LZ,Used,"$26,998 ",4.7,61,Dealer,Kunes Chevrolet Cadillac of Delavan,4.7,923,1231 E Geneva St Delavan,WI,53115,Fair,4.8,4.8,4.8,4.7,4.7,4.8,Black,–,Front-wheel Drive,19,28,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,2G1105S31K9161628,02P596A,49372
2013,INFINITI,G37 x,Used,"$17,300 ",4.7,131,Private,stan,4.7,923,Mount Prospect,IL,60056,NA,4.6,4.5,4.8,4.7,4.7,4.8,Gray,Black,All-wheel Drive,18,25,Gasoline Fuel,7-Speed A/T,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,JN1CV6AR5DM756312,–,66560
2017,Honda,Civic EX,Used,"$22,004 ",4.8,743,Dealer,Toyota of Lincoln Park,4.2,380,1561 N Fremont St Chicago,IL,60642,Good,4.7,4.7,4.8,4.8,4.8,4.8,Modern Steel Metallic,Black / Gray,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H54HU218886,K1812,35257
2017,Tesla,Model S 75,Used,"$47,000 ",4.6,37,Private,Kenny,4.2,380,Gallatin,TN,37066,Good,4.7,4.4,4.9,4.1,4.7,4.5,Silver,White,Rear-wheel Drive,15,30,Electric Fuel System,A/T,382.0HP Electric Motor Electric Fuel System,5YJSA1E17HF196111,–,84000
2021,Honda,Pilot Special Edition,Honda Certified,"$43,296 ",4.8,63,Dealer,Ed Martin Honda,4.8,959,770 North Shadeland Avenue Indianapolis,IN,46219,Good,4.9,4.7,4.8,4.7,4.7,4.8,Steel Sapphire Metallic,Gray,All-wheel Drive,19,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNYF6H29MB101863,2CR3252A,10563
2015,Jeep,Grand Cherokee SRT,Used,"$52,884 ",4.8,296,Dealer,Preferred Automotive Group State Boulevard,4.9,223,615 E State Blvd Fort Wayne,IN,46805,Fair,4.9,4.8,4.8,4.6,4.9,4.7,Redline 2 Coat Pearl,Sepia / Black,Four-wheel Drive,13,19,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,1C4RJFDJXFC213281,Z11047A,49870
2011,Ford,Explorer Limited,Used,"$12,290 ",4.3,112,Dealer,Furthmiller Motors LLC,4.2,34,1219 State Road 8 Auburn,IN,46706,Great,4.6,4.5,4.2,4,4.6,4.1,White,Beige,Front-wheel Drive,17,25,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FMHK7F86BGA15028,5028,117401
2017,BMW,M240 i,Used,"$33,900 ",4.7,20,Dealer,Marietta Auto Sales,4.3,1245,1666 Roswell Rd Marietta,GA,30062,Great,4.5,4.4,4.9,4.5,4.8,4.8,Alpine White,Oyster/Black,Rear-wheel Drive,21,32,Gasoline,8-SPEED A/T,Straight 6 Cylinder Engine,WBA2G1C37HV639150,HV639150,60733
2020,Volvo,XC60 T5 Inscription,Used,"$41,389 ",4.9,39,Dealer,EchoPark Automotive Knoxville Delivery Center,4,25,ONLINE ONLY Knoxville,TN,37923,Fair,4.9,4.9,4.9,4.9,4.9,4.9,Onyx Black Metallic,Charcoal,Front-wheel Drive,22,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV4102DL4L1571569,PL1571569,36577
2018,Honda,Civic EX,Used,"$23,739 ",4.8,546,Dealer,North Coast Auto Mall of Cleveland,4.8,2398,5700 Brookpark Rd Cleveland,OH,44129,Good,4.7,4.7,4.8,4.8,4.9,4.8,Crystal Black Pearl,Black,Front-wheel Drive,31,40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H51JU419408,419408K01,32333
2020,BMW,X1 xDrive28i,Used,"$32,893 ",4.8,13,Dealer,North Coast Auto Mall of Bedford,4.6,2411,333 Broadway Ave Bedford,OH,44146,Good,4.7,4.9,5,4.7,4.8,4.9,Alpine White,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C08L5P94224,P94224C01,39879
2020,BMW,X1 xDrive28i,Used,"$30,693 ",4.8,13,Dealer,North Coast Auto Mall of Bedford,4.6,2411,333 Broadway Ave Bedford,OH,44146,Good,4.7,4.9,5,4.7,4.8,4.9,Jet Black,Black,All-wheel Drive,23,31,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXJG9C07L5P88611,P88611C01,50199
2019,Acura,ILX Premium & A-SPEC Packages,Used,"$23,995 ",4.7,24,Dealer,BBS AUTO SALES,3.7,7,132 S Sutton Rd Fort Mill,SC,29708,Great,4.7,4.6,4.6,4.6,4.8,4.6,White,Red,Front-wheel Drive,24,34,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,19UDE2F87KA000944,944,14940
2021,Chrysler,300 S,Used,"$30,000 ",5,3,Dealer,Auto Boutique,4.8,1047,10100 Atlantic BLVD Jacksonville,FL,32225,Great,5,5,5,5,5,5,Gloss Black,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CCABG7MH554324,8630,19229
